n,a_n,S_n,log_S_n
1,7,7.0,1.9459101490553133051053527434431797296370847295819
2,15,10.246950765959598383221038680521051990735032663455,2.3269801750787616855506786567959465369050883208366
3,1,4.7176939803165333573205293439828518986784025321983,1.5513201167191744570337857711972976912700588805577
4,292,13.232534581284354485922692299519515522264314672568,2.5826785381064512797569826034866971952164824388163
5,1,7.8943146077811564051726925195657470574235643049719,2.066142830485161023805586082789357756173185951053
6,1,5.594509621459185008612116654377628933605683506664,1.7217856920709675198379884023244647968109882925442
7,1,4.3746053389011398973124989388840735364184522711517,1.4758163074894007312897043448495412544094185364665
8,2,3.9668910085333711878471464755144639558938456640352,1.3779826666232188035556453169256206686176787362032
9,1,3.4037354198537644817416864714435819249028814766044,1.2248734814428611587161291706005517054379366544028
10,3,3.3610296220432804852078150059381708626010867939344,1.2122473621653860119840407772327491053588920447448
11,1,3.0103099789973372125142876248738630936659006278435,1.1020430565139872836218552520297719139626291315862
12,14,3.4216660421086730061294268889358423779563854262931,1.2301275792724265611969160531024039459417921092825
13,2,3.2832093183974496535406185137816291392464280418591,1.18882139475608184952155575066823260918284657275
14,1,3.0159219791980342432867434155733598675549604287165,1.1039055808449331459843017684776445656697861032679
15,1,2.8019395546203369018901052660588750649375343236091,1.03031187545527093625201498391246826129180036305
16,2,2.7435126324951901160120731380288133249503705856715,1.0092390820243130845748410550090750304657815987569
17,2,2.6929720654734095982504569790729029097045240874913,0.99064544076170321544792288244725747385458857143948
18,2,2.6488292757283991304950612244914751588022038684569,0.97411775963938333177955117350341964575575032493508
19,2,2.609946790707481576402885421029801414947173201884,0.95932983442467606744469227602735422061468452543114
20,1,2.4877118262425735604970214924303421787602457488484,0.91136334270344226407245766222598650958395029915958
21,84,2.9416079818055222904674936506056188230672456025995,1.0789563644243885188944864508477042267673610256818
22,2,2.8904713431447796934597739591224732742892675700991,1.0614195833396411002818839813299984240995491669853
23,1,2.7601110261975097290826167486351341267953551862387,1.015270905803134965487019460402607188269133985812
24,1,2.6457853802717280814074229824419395041083587172416,0.97296795139467100859172698288583188875792006973654
25,15,2.8359337311485921553868260711091732120335981124562,1.0423712413829725708878980863763471469745269434307
26,3,2.8420748277510853990952750977479451012298523220077,1.0445343585862470755227960537050463222696409285997
27,13,3.0067086995736764191342846728768814039240296071757,1.1008460252112578036905994384406119623635530403093
28,1,2.8907907937207232407421038250934629431101066678249,1.061530095739427167844506601353447249421997574584
29,4,2.9233460375688633609224376954716675933168707357841,1.0727288635111672868441603131314784868954114605887
30,2,2.8865907680756341697077385707367845600584903850813,1.0600761407461265542632627067423684229347477497144
31,6,2.9555324736737254451130774088212823215141209648063,1.0836788287616726331842051148597340309924330059231
32,6,3.021659998573464726159937461023053532564723687216,1.1058063487762470821725886224697642885465129336187
33,99,3.358663481719903760531810835123251031596717206024,1.2115431215446817138295536354800799376547000559206
34,1,3.2410893755777909784532857932834185745636045538577,1.17590950032277931048162558737772464537073828957
35,2,3.1966912521949539286197713097061097003015237477775,1.1621162911866983390226429169228804145908743422783
36,2,3.1553182781099769230435669250214270263175195128199,1.1490893714470663104224926170488608632987806142806
37,6,3.2106032041357018511325893158784158006339974357235,1.1664588335492551939465462587064781986886241298996
38,3,3.2048759938500176078596441529453340785386995972683,1.1646733981576461017741436002384794488454364043186
39,5,3.2416343008483628180244757466979260721048026221898,1.1760776164724269805645696446740617101449278132917
40,1,3.1477114848732425730393061335613765559019931951011,1.1466756760606163060504554035572101673913046179594
41,1,3.0608968970976734135838966047365596414736833461821,1.1187079766445037132199564912753269925768825541067
42,6,3.1103430083463707917618966813068652557319467016384,1.1347330121822073153054927023968835468660756050133
43,8,3.1794333146902974652462518197810475114842426996517,1.1567029779844777481647067410475264807581785072939
44,1,3.0969392156174278712421476178609930377234886440013,1.1304142739393759811609634060237190607409471775827
45,7,3.1535739737026349214300686200217818434755237349759,1.1485364044975079216930609468552626311608613454049
46,1,3.0758098172536954550780486009864202442046816229033,1.12356822179104035817799440453232213917910349007
47,2,3.0477704621551756616104969792341944817813337136477,1.1144103272967617401192547814881913823471119293102
48,3,3.0467675273040076418676081673540564271221936053268,1.1140812014919981557708379159764066807283698174043
49,7,3.0989312762752734927600117711013338339528770832542,1.131057302462678056777664749190014293971404815612
50,1,3.0296168410114534651070573358574871370755366813755,1.1084361564134244956421114542062140080919767192997
51,2,3.0050470806987309268467102455991825182448642784885,1.1002932353182582370886824476817426857387124725362
52,1,2.9421298269827861266417929114404819504265020227331,1.079133750023676347913900092918632249474506463449
53,1,2.8828308224977407813473995413540620494218920559308,1.0587727358722862281419397138069599428806478509311
54,12,2.9599803303652699971252427492599269514344111962395,1.0851826231670216741065280428075510335828301282572
55,1,2.9021505467698774177943210068044546980404850785124,1.0654520300185303709409548056655955602449604895616
56,1,2.8474563896523176990271433462518565827085778068416,1.0464261009110566143170091841358527823834433379623
57,1,2.7956586960347911116347270706741168216396377376798,1.02806774826349421757460551423873255813110222677
58,3,2.7990610829903817846533273256416290152815215595257,1.0292840334428841395370303370436255434158675428226
59,1,2.7506535592478773151635223747101128091485842070905,1.0118385413506318659855552465852590087817002963341
60,1,2.7046555492797274931777534814745418117799566420367,0.99497456566145466821912932580883802530200529139521
61,8,2.7531692779483335161724056178294176448018507123899,1.0127527128092969839573681297197510036450298014228
62,1,2.7085623382509533565527117459305995982211955178613,0.9964179916349534842161202566597550197152712562386
63,1,2.6660602823568242996125070906541789165830874531872,0.98060183303757327018094374464928271781502885534592
64,2,2.6541125802443137790484915986679915426551991624699,0.97611035409261033329401075053692168422534871908052
